簡章代碼,系所別,組別,報考人數,招生名額,錄取人數,錄取情況,錄取最低分數,錄取率,備取人數,本校最低門檻
619,園藝暨景觀學系,園藝作物乙組,4,3,3,NA,167,0.75,0,160
620,園藝暨景觀學系,園產品處理及利用甲組(主修園產品處理),10,3,3,NA,172,0.29999999999999999,2,160
621,園藝暨景觀學系,園產品處理及利用乙組(主修園產品加工),19,2,2,NA,243.5,0.10526315789473684,3,160
622,園藝暨景觀學系,景觀暨休憩組,28,8,8,NA,202.5,0.2857142857142857,3,160
623,獸醫學系,甲組(獸醫公共衛生及預防醫學),5,4,4,NA,125.83,0.80000000000000004,0,80
624,獸醫學系,乙組(主修基礎動物醫學),22,19,11,缺額8,82,0.5,0,80
625,生物產業傳播暨發展學系,NA,39,7,6,缺額1,120,0.15384615384615385,0,120
626,生物產業機電工程學系,甲組,71,7,8,流用1,160,0.11267605633802817,7,120
627,生物產業機電工程學系,乙組,31,5,6,流用1,152,0.19354838709677419,5,120
628,生物產業機電工程學系,丙組,23,8,4,缺額4,139,0.17391304347826086,0,120
629,生物產業機電工程學系,丁組,96,4,6,流用2,181,0.0625,4,120
630,昆蟲學系,甲組,22,4,5,流用1,95.5,0.22727272727272727,2,80
631,昆蟲學系,乙組,20,4,4,NA,142.40000000000001,0.20000000000000001,2,80
632,植物病理與微生物學系,甲組,40,7,8,流用1,121,0.20000000000000001,6,80
633,植物病理與微生物學系,乙組,35,6,7,流用1,97,0.20000000000000001,5,80
634,食品科技研究所,甲組(主修食品化學),17,3,3,NA,213.5,0.17647058823529413,2,140
635,食品科技研究所,乙組(主修食品微生物),25,3,3,NA,248.75,0.12,2,140
636,食品科技研究所,丙組(主修食品加工),162,11,12,流用1,230.5,0.07407407407407407,4,140
637,食品科技研究所,丁組(主修食品工程),7,2,0,缺額2,140,0,0,140
638,食品科技研究所,戊組(主修保健營養),122,6,8,流用1同分1,220.75,0.065573770491803282,2,140
639,臨床動物醫學研究所,甲組(伴侶動物),21,8,8,NA,72.25,0.38095238095238093,3,40
640,臨床動物醫學研究所,乙組(大動物及野生動物),3,3,3,NA,60.670000000000002,1,0,40
641,植物醫學碩士學位學程,NA,38,4,5,流用1,129,0.13157894736842105,4,80
642,分子暨比較病理生物學研究所,甲組,12,3,3,NA,140.40000000000001,0.25,2,80
643,分子暨比較病理生物學研究所,乙組,4,2,2,NA,84.25,0.5,0,80
701,商學研究所,甲組,889,17,17,NA,157.66,0.019122609673790775,5,80
