"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8747","RPQOMLQJJHPFFBA67CA","36","23.79","共有部分","鋼筋混凝土造","72年8月15日","十二層",NA
"8748","RPPQMLNJJHPFFCA57CA","23","48.28","住家用","鋼筋混凝土造","86年1月16日","八層","八層"
"8749","RPPQMLNJJHPFFCA57CA","23","7.28","共有部分","鋼筋混凝土造","86年1月16日","八層",NA
"8750","RPPQMLNJJHPFFCA57CA","23","5.12","共有部分","鋼筋混凝土造","86年1月16日","八層",NA
"8751","RPPQMLNJJHPFFCA57CA","23","3.51","共有部分","鋼筋混凝土造","86年1月16日","八層",NA
"8752","RPOPMLNJJHPFFCA37CA","41","20.00","商業用","鋼筋混凝土造","68年1月19日","十四層","十一層"
"8753","RPOPMLNJJHPFFCA37CA","41","8.54","共有部分","鋼筋混凝土造","68年1月19日","十四層",NA
"8754","RPQRMLNJJHPFFCA77CA","9","88.81","住家用","鋼筋混凝土造","100年2月21日","十一層","七層"
"8755","RPQRMLNJJHPFFCA77CA","9","88.39","見其他登記事項","鋼筋混凝土造","100年2月21日","十一層",NA
"8756","RPQQMLRKJHPFFCA18CA",NA,"239.68",NA,"加強磚造",NA,"二層","一層 二層"
"8757","RPWNMLRJJHPFFCA38CA","39","9.94","共有部分","鋼筋混凝土造","69年8月21日","十一層",NA
"8758","RPWNMLRJJHPFFCA38CA","39","22.45","住商用","鋼筋混凝土造","69年8月21日","十一層","七層"
"8759","RPQRMLQJJHPFFCA08CA","12","28.25","住家用","鋼筋混凝土造","96年7月2日","十一層","十層"
