"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8575","RPSNMLQJJHPFFFA18CA","25","13.41","共有部分","鋼筋混凝土造","83年6月9日","十一層",NA
"8576","RPVNMLRJJHPFFEA48CA","5","38.16","住家用","鋼筋混凝土造","103年9月5日","七層","二層"
"8577","RPVNMLRJJHPFFEA48CA","5","23.84","見其他登記事項","鋼筋混凝土造","103年9月5日","七層",NA
"8578","RPUOMLMLJHPFFEA18CA","1","114.92","住家用","鋼筋混凝土造","107年6月14日","九層","五層"
"8579","RPUOMLMLJHPFFEA18CA","1","92.29","見其他登記事項","鋼筋混凝土造","107年6月14日","九層",NA
"8580","RPRNMLMKJHPFFDA67DA","39","67.15","見其他登記事項","鋼筋混凝土造","70年3月17日","七層","四層"
"8581","RPQOMLMJJHPFFFA67CA","37","126.45","住家用","鋼筋混凝土造","72年1月25日","七層","六層"
"8582","RPQOMLMJJHPFFFA67CA","37","32.51","共有部分","鋼筋混凝土造","72年1月25日","七層",NA
"8583","RPQNMLOJJHPFFFA77CA","23","15.09","共有部分","鋼筋混凝土造","85年7月5日","十二層",NA
"8584","RPQNMLOJJHPFFFA77CA","23","23.25","商業用","鋼筋混凝土造","85年7月5日","十二層","三層"
"8585","RPXNMLRJJHPFFEA68CA","20","83.46","商業用","鋼筋混凝土造","88年8月12日","十四層","二層"
"8586","RPXNMLRJJHPFFEA68CA","20","13.99","共有部分","鋼筋混凝土造","88年8月12日","十四層",NA
"8587","RPXNMLRJJHPFFEA68CA","20","44.28","共有部分","鋼筋混凝土造","88年8月12日","十四層",NA
"8588","RPXNMLRJJHPFFEA68CA","20","8.12","共有部分","鋼筋混凝土造","88年8月12日","十四層",NA
"8589","RPSOMLRJJHPFFEA28CA","34","97.21","住家用","鋼筋混凝土造","74年11月27日","七層","六層"
"8590","RPSOMLRJJHPFFEA28CA","34","31.14","住家用","鋼筋混凝土造","74年11月27日","七層",NA
"8591","RPRNMLRJJHPFFEA08CA","45","29.85","住家用","加強磚造","63年8月30日","三層","一層 騎樓"
"8592","RPOPMLQJJHPFFEA87CA","44","64.42","住家用","鋼筋混凝土造","65年2月27日","四層","三層 陽台"
"8593","RPROMLMJJHPFFEA67CA","34","77.18","住家用","鋼筋混凝土造","74年9月16日","五層","四層"
"8594","RPROMLMJJHPFFEA67CA","34","2.26","共有部分","鋼筋混凝土造","74年9月16日","五層",NA
"8595","RPQNMLNJJHPFFEA57CA","29","157.46","住家用","鋼筋混凝土造","79年5月31日","九層","四層"
"8596","RPQNMLNJJHPFFEA57CA","29","15.13","共有部分","鋼筋混凝土造","79年5月31日","九層",NA
"8597","RPWOMLOKJHPFFEA48CA","40","1.44","共有部分","鋼筋混凝土造","69年3月10日","五層",NA
"8598","RPWOMLOKJHPFFEA48CA","40","128.43","住家用","鋼筋混凝土造","69年3月10日","五層","三層"
"8599","RPQQMLNKJHPFFEA97CA","29","193.96","住家用","鋼筋混凝土造","79年10月16日","十三層","十一層 十二層"
"8600","RPQQMLNKJHPFFEA97CA","29","16.45","共有部分","鋼筋混凝土造","79年10月16日","十三層",NA
"8601","RPQQMLNKJHPFFEA97CA","29","40.03","共有部分","鋼筋混凝土造","79年10月16日","十三層",NA
"8602","RPVOMLNJKHPFFCA08CA","38","110.78","住家用","鋼筋混凝土造","71年5月15日","六層","六層"
"8603","RPVOMLNJKHPFFCA08CA","38","5.03","共有部分","鋼筋混凝土造","71年5月15日","六層",NA
"8604","RPQNMLRJJHPFFEA97CA","45","29.85","住家用","加強磚造","63年8月30日","三層","一層 騎樓"
"8605","RPQOMLMJJHPFFDA47CA","40","118.15","住家用","鋼筋混凝土造","69年1月3日","五層","四層"
"8606","RPRNMLNJJHPFFDA57CA",NA,"60.79","住家用","鋼筋混凝土造",NA,"四層","三層"
"8607","RPPNMLKMJHPFFDA37CA",NA,"54.16","見其他登記事項","見其他登記事項","107年9月20日","三十層",NA
"8608","RPPNMLKMJHPFFDA37CA",NA,"243.06","見其他登記事項","見其他登記事項","107年9月20日","三十層","二十七層"
"8609","RPPNMLKMJHPFFDA37CA",NA,"75.12","見其他登記事項","見其他登記事項","107年9月20日","三十層",NA
"8610","RPPNMLKMJHPFFDA37CA",NA,"41.35","見其他登記事項","見其他登記事項","107年9月20日","三十層",NA
"8611","RPROMLNJJHPFFDA67CA","43","111.83","住家用","鋼筋混凝土造","66年1月19日","十二層","八層 陽台"
"8612","RPROMLNJJHPFFDA67CA","43","14.50","共有部分","鋼筋混凝土造","66年1月19日","十二層",NA
"8613","RPSOMLNJJHPFFDA77CA",NA,"59.64","住家用","鋼筋混凝土造",NA,"四層","四層"
"8614","RPROMLNJJHPFFDA67CA","43","1.63","見使用執照","鋼筋混凝土造","66年1月19日","十二層",NA
"8615","RPROMLNJJHPFFDA67CA","43","1.35","見使用執照","鋼筋混凝土造","66年1月19日","十二層",NA
"8616","RPPNMLQKJHPFFFA97CA","13",".09","見其他登記事項","鋼筋混凝土造","95年8月28日","十層","一層"
"8617","RPPNMLQKJHPFFFA97CA","13",".33","共有部分","鋼筋混凝土造","95年8月28日","十層",NA
"8618","RPPNMLQKJHPFFFA97CA","13","4.44","共有部分","鋼筋混凝土造","95年8月28日","十層",NA
"8619","RPTPMLNJJHPFFDA97CA","46","95.98","住家用","鋼筋混凝土造","63年5月31日","四層","四層"
"8620","RPQOMLNJJHPFFDA57CA","19","22.43","商業用","鋼筋混凝土造","89年11月24日","十三層","七層"
"8621","RPQOMLNJJHPFFDA57CA","19","5.58","共有部分","鋼筋混凝土造","89年11月24日","十三層",NA
"8622","RPQOMLNJJHPFFDA57CA","19","3.29","共有部分","鋼筋混凝土造","89年11月24日","十三層",NA
"8623","RPUPMLOKJHPFFDA28CA",NA,"114.25","住家用","鋼筋混凝土造",NA,"五層","四層"
"8624","RPPNMLRKJHPFFBA67CA",NA,"60.62",NA,"加強磚造",NA,"三層","一層 騎樓"
"8625","RPQPMLNKJHPFFBA57CA","36","12.64",NA,"鋼筋混凝土造","72年4月21日","七層",NA
"8626","RPQPMLNKJHPFFBA57CA","36","91.03","住家用","鋼筋混凝土造","72年4月21日","七層","六層"
"8627","RPQNMLPKJHPFFBA57CA","31","62.47","住家用","鋼筋混凝土造","77年10月11日","七層","六層"
"8628","RPQNMLPKJHPFFBA57CA","31","9.86","共有部分","鋼筋混凝土造","77年10月11日","七層",NA
"8629","RPSRMLNKJHPFFCA08CA","30","348.60","工業用","鋼筋混凝土造","79年4月11日","五層","四層"
"8630","RPSRMLNKJHPFFCA08CA","30","16.82","共有部分","鋼筋混凝土造","79年4月11日","五層",NA
"8631","RPVOMLNJJHPFFDA08CA","21","92.57","住家用","鋼筋混凝土造","87年11月9日","十八層","六層 電梯樓梯間"
"8632","RPVOMLNJJHPFFDA08CA","21","15.43","共有部分","鋼筋混凝土造","87年11月9日","十八層",NA
"8633","RPPNMLQJJHPFFCA57CA","1","150.67","見其他登記事項","鋼骨鋼筋混凝土造","107年12月13日","二十四層","六層"
"8634","RPPPMLKKJHPFFDA37CA","10","120.95","住家用","鋼筋混凝土造","99年3月31日","十五層","二層"
"8635","RPPPMLKKJHPFFDA37CA","10","24.41","見其他登記事項","鋼筋混凝土造","99年3月31日","十五層",NA
"8636","RPPNMLQJJHPFFCA57CA","1","45.59","見其他登記事項","鋼骨鋼筋混凝土造","107年12月13日","二十四層",NA
"8637","RPPPMLKKJHPFFDA37CA","10","11.54","見其他登記事項","鋼筋混凝土造","99年3月31日","十五層",NA
"8638","RPPNMLQJJHPFFCA57CA","1","76.49","見其他登記事項","鋼骨鋼筋混凝土造","107年12月13日","二十四層",NA
"8639","RPPPMLKKJHPFFDA37CA","10","22.47","見其他登記事項","鋼筋混凝土造","99年3月31日","十五層",NA
"8640","RPPPMLKKJHPFFDA37CA","10","26.79","見其他登記事項","鋼筋混凝土造","99年3月31日","十五層",NA
"8641","RPPNMLQJJHPFFCA57CA","1","17.73","見其他登記事項","鋼骨鋼筋混凝土造","107年12月13日","二十四層",NA
"8642","RPQRMLNKJHPFFCA87CA","30","358.32","工業用","鋼筋混凝土造","79年4月11日","五層","四層"
"8643","RPQRMLNKJHPFFCA87CA","30","17.41","共有部分","鋼筋混凝土造","79年4月11日","五層",NA
"8644","RPURMLKLJHPFFCA08CA","17","123.18","商業用","鋼筋混凝土造","92年2月13日","十四層","二層"
"8645","RPURMLKLJHPFFCA08CA","17","10.42","共有部分","鋼筋混凝土造","92年2月13日","十四層",NA
"8646","RPURMLKLJHPFFCA08CA","17","59.92","共有部分","鋼筋混凝土造","92年2月13日","十四層",NA
"8647","RPURMLKLJHPFFCA08CA","17","1.95","共有部分","鋼筋混凝土造","92年2月13日","十四層",NA
"8648","RPTQMLNJJHPFFCA97CA","9","87.48","住家用","鋼筋混凝土造","99年7月12日","十一層","十一層"
"8649","RPTQMLNJJHPFFCA97CA","9","16.39","見其他登記事項","鋼筋混凝土造","99年7月12日","十一層",NA
"8650","RPTQMLNJJHPFFCA97CA","9","56.82","見其他登記事項","鋼筋混凝土造","99年7月12日","十一層",NA
"8651","RPXOMLNJJHPFFBA08CA","46","99.96","住家用","鋼筋混凝土造","63年3月1日","五層","三層"
"8652","RPSNMLTJJHPFFBA08CA","29","94.64","住家用","鋼筋混凝土造","80年5月22日","五層","四層"
"8653","RPSNMLTJJHPFFBA08CA","29","11.37","共有部分","鋼筋混凝土造","80年5月22日","五層",NA
"8654","RPSNMLTJJHPFFBA08CA","29","16.55","見使用執照","鋼筋混凝土造","80年5月22日","五層","地下層"
"8655","RPWPMLTJJHPFFBA68CA","6","113.68","住家用","鋼筋混凝土造","102年7月2日","十四層","二層"
