id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
FRA,2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,66977107,0,0,0,0,0,0,0,1,0,0,0,2.78,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-23,NA,NA,NA,NA,NA,NA,NA,NA,66977107,0,0,0,0,0,0,0,1,0,0,0,2.78,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-24,NA,NA,3,NA,NA,3,NA,NA,66977107,0,0,0,0,0,0,0,1,2,0,0,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-26,NA,NA,NA,NA,NA,NA,NA,NA,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-27,NA,NA,3,0,NA,3,NA,NA,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-28,NA,NA,4,0,NA,4,NA,1,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-29,NA,NA,5,0,NA,5,NA,2,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-30,NA,NA,6,0,NA,6,NA,2,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
FRA,2020-01-31,NA,NA,6,0,NA,6,NA,2,66977107,0,0,0,0,0,0,0,1,2,2,1,11.11,FRA,FR,250,EUR,1,France,NA,NA,46.23,2.21,NA,France,FR
