id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
USA,2020-01-22,NA,NA,1,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-23,NA,NA,1,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-24,NA,NA,2,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-25,NA,NA,2,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-26,NA,NA,5,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-27,NA,NA,5,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-28,NA,NA,5,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-29,NA,NA,6,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-30,NA,NA,6,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-01-31,NA,NA,8,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-01,NA,NA,8,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-02,NA,NA,8,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-03,NA,NA,11,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-04,NA,NA,11,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-05,NA,NA,11,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-06,NA,NA,12,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-07,NA,NA,12,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-08,NA,NA,12,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-09,NA,NA,12,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-10,NA,NA,12,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-11,NA,NA,13,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-12,NA,NA,13,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-13,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-14,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-15,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-16,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-17,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-18,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-19,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-20,NA,NA,14,3,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-21,NA,NA,16,5,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
USA,2020-02-22,NA,NA,16,5,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,5.56,USA,US,840,USN,1,United States,NA,NA,38,-97,NA,United States,US
